protein_ID,Day_3_23_C,Day_5_23_C,Day_7_23_C,Day_9_23_C,Day_11_23_C,Day_13_23_C,Day_3_29_C,Day_5_29_C,Day_7_29_C,Day_9_29_C,Day_11_29_C,Day_13_29_C,clusterID,ClusterColor
CHOYP_DHX8.2.3.m.55114,124.66115,125.40345,105.94765,111.6655,124.43195,123.7123,126.4022,159.50245,116.0349,117.6517,125.79375,121.19725,15,dodgerblue2
CHOYP_AAEL_AAEL007173.1.1.m.41471,44.7863,45.8163,0.1,38.9739,78.5785,92.68275,0.1,94.7948,0.1,66.4379,31.12235,90.30225,15,dodgerblue2
CHOYP_DLDH.1.1.m.31018,76.6849,58.97275,51.8098,60.1041,72.4096,63.12375,61.8885,95.5552,63.05105,78.32315,64.6879,64.0576,15,dodgerblue2
CHOYP_SMP_012720.1.2.m.31152,0.1,8.6999,0.1,0.1,42.14975,0.1,6.158,57.8777,0.1,44.4738,14.29215,7.9686,15,dodgerblue2
CHOYP_LOC100699093.1.1.m.20134,64.6397,59.8332,64.1115,59.94365,71.92165,68.93215,63.85145,74.97185,64.2688,77.80425,71.5436,65.76365,15,dodgerblue2
CHOYP_FLNA.2.6.m.11845,0.5269,74.4623,37.8434,2.28805,55.62715,1.03215,77.60375,1.6348,93.08815,45.25935,64.52485,93.7741,2,darkred
CHOYP_LOC100755189.1.1.m.33307,60.236,47.5174,59.1693,50.43575,67.9373,47.44815,63.5999,49.35265,70.4516,51.9213,68.8351,80.2976,2,darkred
CHOYP_CYIIB.2.2.m.64544,180.86145,152.19475,191.24515,173.93575,194.4637,192.0196,178.42855,162.6732,238.80615,195.21435,203.56585,211.4802,2,darkred
CHOYP_KCY.1.1.m.29973,63.6239,48.0216,76.47595,42.04945,78.4603,57.1457,87.5807,54.3958,104.3822,94.0673,110.803,80.0898,2,darkred
CHOYP_LOC100710670.1.2.m.7245,59.07755,55.3003,64.82935,63.09435,78.75975,61.03525,64.61495,28.5218,61.08085,41.82335,84.48005,76.4064,2,darkred
CHOYP_LOC100486063.5.9.m.39538,2.2291,4.78825,7.6931,1.80595,5.39815,9.99985,5.01045,1.9177,8.7942,3.6816,8.5853,6.93135,2,darkred
CHOYP_CATA.1.3.m.11120,26.18615,49.46985,50.24645,54.11775,74.32065,0.1,50.15585,65.4208,35.1209,64.6508,75.0147,57.69585,2,darkred
CHOYP_SPTCA.1.2.m.1905,26.1025,64.45,68.44545,64.5489,74.06255,0.1,57.8742,63.99765,68.69485,78.858,78.6886,78.6579,2,darkred
CHOYP_PHUM_PHUM226120.7.7.m.54053,56.3315,56.9599,57.1239,51.77775,62.5979,13.1983,61.38385,62.7885,57.16055,68.2577,71.61115,71.6246,2,darkred
CHOYP_contig_043813.m.50619,110.67575,111.3921,117.0697,117.8179,125.2893,81.7102,137.8146,139.5744,114.51895,130.15375,131.01755,131.0494,2,darkred
CHOYP_NEMVEDRAFT_V1G242153.4.4.m.60071,79.08505,89.5519,90.58015,119.38935,122.79895,77.1815,104.35985,127.2221,78.8054,115.72815,135.3833,119.40135,2,darkred
CHOYP_MDHC.1.1.m.57053,89.46845,106.35345,108.30365,136.21565,128.4354,92.4813,109.686,110.9824,92.4763,129.7466,144.41825,138.65565,2,darkred
