gene,Day11_23C,Day11_29C,Day13_23C,Day13_29C,Day3_23C,Day3_29C,Day5_23C,Day5_29C,Day7_23C,Day7_29C,Day9_23C,Day9_29C
DYH2.1.2.m.24785,0,0,0,0,0,0,0,0,0,0,1.65875,0.52965
CG031,0,0,0.949,0,25.4132,6.87695,1.9777,0.78295,4.81775,3.2808,2.78105,1.4767
TTC25,0,0,0,0,33.9193,3.76955,1.7979,0,0,0,0,0
TBA.2.2.m.57790,35.56565,0,0,0,0,0,31.67075,0,0,0,33.4182,23.38035
Y1101,379.27185,395.00455,287.51045,523.60335,365.99355,231.0322,410.38745,384.48075,303.24275,344.3579,334.5834,386.66005
AMY1,41.0237,42.3804,41.66605,42.22335,5.28985,19.95325,31.1689,27.58675,28.03555,32.3691,29.0084,37.34605
IFEA.1.1.m.42880,33.031,36.01495,58.9495,72.2915,27.02335,35.6605,43.2452,64.096,47.87815,85.0311,57.8242,22.2476
EFTU,68.439,59.2471,72.8067,71.4322,60.3686,74.00385,71.6763,73.73985,58.16865,74.61835,61.02605,75.7317
FKB14,136.9261,106.90385,104.04185,94.16325,22.63845,61.1467,81.07655,102.87995,92.8572,113.883,67.1032,118.77535
LNEBL,65.16415,99.6111,74.06385,59.91355,35.3492,76.30755,46.10155,82.448,78.4268,67.65255,77.009,95.5867
ACT.1.1.m.53937,0,0,0,266.4716,255.1912,568.72235,439.6172,328.73155,0,0,0,197.9363
TBA.1.1.m.57578,215.3891,505.8474,99.74995,332.79735,194.2018,559.59835,196.68555,369.94445,413.94255,268.22635,166.4163,280.1185
EFCB6,0.79065,2.38975,0.53185,0.78115,10.47505,2.21495,1.74525,2.37895,1.5015,0.4918,1.47805,0.43425
LRP5,46.7058,64.07985,59.3314,89.73365,54.85595,74.73465,62.9643,68.59725,51.2124,77.2316,44.12805,60.85035
LYS3,91.2277,124.85425,71.75085,102.5901,59.8864,57.7524,62.86655,65.31665,52.33295,78.6112,72.2189,100.00325
CO6A4.2.5.m.45361,60.17255,55.5798,56.9101,48.61555,36.71035,52.43055,47.98665,50.38845,44.59925,47.5354,50.92845,61.0796
MATN1,45.2609,49.0954,46.91805,45.4493,20.42975,30.8187,34.04675,43.0795,39.65405,47.29985,45.8083,48.7059
FAT4.1.1.m.34344,9.34465,6.82155,19.08835,10.6963,27.647,22.3001,22.77455,21.7131,24.0095,20.10045,18.77905,7.1743
MDHC,128.4354,144.41825,92.4813,138.65565,89.46845,109.686,106.35345,110.9824,108.30365,92.4763,136.21565,129.7466
